,FIELD_GOAL_MADE_DIFF,FIELD_GOAL_MISSED_DIFF,FREE_THROW_DIFF,REBOUND_DIFF,TURNOVER_DIFF,FOUL_DIFF
704,1,0,0,0,0,1
705,0,1,1,1,1,0
706,1,0,0,0,1,1
707,0,1,1,1,0,0
708,0,1,0,1,1,1
709,1,0,1,0,0,0
710,1,0,0,0,1,1
711,0,1,1,1,0,0
712,1,0,1,1,0,0
713,0,1,0,0,0,1
714,0,1,0,0,0,1
715,1,0,0,1,0,0
716,0,1,0,0,1,1
717,1,0,1,1,0,0
718,0,0,1,1,1,0
719,1,1,0,0,0,1
720,1,0,1,0,0,0
721,0,1,0,0,1,1
722,0,0,1,0,1,1
723,1,1,0,1,0,0
724,0,1,0,0,0,1
725,1,0,0,1,1,0
726,1,1,0,1,0,1
727,0,0,1,0,1,0
728,1,0,1,1,0,0
729,0,1,0,0,1,1
730,0,1,1,1,1,0
731,1,0,0,0,0,1
732,0,0,0,0,1,1
733,0,1,1,0,0,0
734,1,0,0,1,0,1
735,0,1,0,0,1,0
736,0,0,1,0,1,1
737,1,1,0,1,0,0
738,1,0,1,1,0,0
739,0,1,0,0,0,1
740,1,0,1,1,0,0
741,0,1,0,0,1,1
742,1,0,0,0,0,1
743,0,1,1,1,1,0
744,1,0,0,1,1,1
745,0,0,1,0,0,0
746,0,1,0,1,1,0
747,1,0,0,0,0,1
748,0,0,0,0,0,0
749,1,1,1,1,1,1
750,0,0,1,0,0,0
751,1,1,0,1,1,1
752,0,0,1,0,0,1
753,1,0,0,1,1,0
754,0,1,0,0,0,1
755,1,0,1,1,1,0
756,1,0,1,1,0,0
757,0,1,0,0,0,1
758,0,1,0,1,1,1
759,1,0,1,0,0,0
760,0,1,1,0,0,0
761,1,0,0,1,1,1
762,0,0,1,1,1,0
763,0,1,0,0,0,1
764,0,0,1,0,1,0
765,1,1,0,1,0,1
766,1,0,1,1,0,0
767,0,1,0,0,1,1
768,1,0,1,1,0,0
769,0,1,0,0,1,1
770,0,1,1,0,0,0
771,1,0,0,1,1,1
772,0,0,0,0,1,1
773,1,1,1,1,0,0
774,0,1,1,0,1,0
775,1,0,0,1,0,1
776,1,0,1,0,0,0
777,0,1,0,1,1,1
778,1,1,0,0,0,1
779,0,0,1,1,1,0
780,1,0,0,0,0,0
781,0,1,0,0,1,1
782,1,0,1,1,0,0
783,0,1,0,0,1,1
784,1,1,1,1,0,0
785,0,0,0,0,1,1
786,1,0,0,1,1,0
787,0,0,1,0,0,1
788,0,0,1,1,1,0
789,1,1,0,0,0,0
790,1,0,1,1,1,0
791,0,1,0,0,0,1
792,1,1,0,1,0,1
793,0,0,1,0,0,0
794,0,0,0,0,1,1
795,1,1,1,0,0,0
796,1,0,0,1,0,0
797,0,1,1,0,1,0
798,0,1,0,0,1,1
799,1,0,1,1,0,0
800,0,1,1,0,0,0
801,1,0,0,1,1,1
802,1,0,0,0,0,0
803,0,1,1,1,1,1
804,1,0,1,1,0,1
805,0,1,0,0,1,0
806,1,1,0,0,0,1
807,0,0,1,1,0,0
808,1,1,0,0,0,1
809,0,0,1,1,1,0
810,0,1,1,0,0,0
811,1,0,0,1,0,1
812,1,0,0,0,0,0
813,0,1,1,1,1,1
814,0,0,1,0,1,0
815,0,1,0,1,0,1
816,1,0,0,1,1,0
817,0,1,1,0,0,1
818,0,0,1,1,1,0
819,1,1,0,0,0,0
820,1,0,1,0,0,0
821,0,1,0,1,1,1
822,1,0,0,0,0,1
823,0,1,1,1,0,0
824,0,1,0,1,1,0
825,1,0,0,0,0,1
826,0,1,0,0,0,1
827,1,0,1,1,1,0
828,0,1,1,1,0,0
829,1,0,0,0,0,1
830,0,0,1,0,0,0
831,1,1,0,1,1,1
832,1,1,0,1,0,1
833,0,0,1,0,0,0
834,0,1,1,1,1,0
835,1,0,0,0,0,1
836,1,0,0,1,0,1
837,0,1,1,0,1,0
838,1,0,1,1,0,0
839,0,1,0,0,0,1
840,0,1,0,0,0,1
841,1,0,1,1,1,0
842,1,0,1,1,1,0
843,0,1,0,0,0,1
844,1,1,0,1,1,0
845,0,0,0,0,0,0
846,1,0,1,1,0,0
847,0,1,0,0,1,1
848,1,0,1,1,1,0
849,0,0,0,0,0,1
850,1,1,1,1,0,1
851,0,0,0,0,1,0
852,0,0,1,0,1,0
853,1,0,0,1,0,1
854,0,1,0,0,0,0
855,1,0,1,1,1,1
856,1,0,0,1,1,1
857,0,1,1,0,0,0
858,0,0,0,1,1,0
859,1,1,1,0,0,1
860,0,0,1,0,0,0
861,1,0,0,1,0,1
862,1,1,0,0,0,1
863,0,0,1,1,1,0
864,0,1,0,0,0,1
865,1,0,0,1,1,0
866,0,1,0,1,0,0
867,1,0,0,0,0,1
868,0,1,0,0,0,1
869,1,0,1,1,1,0
870,0,0,1,0,0,0
871,1,1,0,1,1,1
872,0,1,0,0,0,1
873,0,0,1,1,1,0
874,0,0,0,0,1,0
875,1,0,1,0,0,0
876,1,1,1,1,0,0
877,0,0,0,0,1,1
878,1,1,0,0,0,0
879,0,0,1,1,1,1
880,0,1,0,1,1,1
881,1,0,1,0,0,0
882,0,1,1,0,0,0
883,1,0,0,1,1,0
884,0,0,0,1,1,1
885,1,1,0,0,0,0
886,0,0,1,0,1,0
887,1,1,0,1,0,1
888,1,1,1,1,0,1
889,0,0,0,0,1,0
890,0,1,1,0,0,0
891,1,0,0,1,0,1
892,1,1,0,0,0,1
893,0,0,1,1,1,0
894,1,0,1,0,0,0
895,0,1,0,1,1,1
896,1,0,1,1,1,0
897,0,1,0,0,0,1
898,0,1,1,0,0,0
899,1,0,0,1,1,1
900,1,0,1,0,1,0
901,0,1,0,0,0,0
902,1,0,0,0,0,1
903,0,1,1,1,1,0
904,1,0,1,1,0,0
905,0,1,0,0,1,1
906,1,1,0,0,0,1
907,0,0,1,1,1,0
908,1,0,1,1,0,0
909,0,1,0,0,1,1
910,0,1,0,1,0,0
911,0,0,1,0,1,1
912,1,0,1,0,0,0
913,0,1,0,1,0,1
914,1,1,0,0,0,1
915,0,0,1,1,1,0
916,0,0,1,1,1,0
917,1,1,0,0,0,1
918,1,1,0,1,1,0
919,0,0,1,0,0,0
920,0,1,0,0,0,1
921,1,0,1,1,1,0
922,1,1,1,1,0,0
923,0,0,0,0,1,1
924,1,1,0,1,0,0
925,0,0,1,0,1,1
926,1,0,1,1,1,0
927,0,1,0,0,0,1
928,1,0,1,1,0,0
929,0,0,0,0,1,0
930,0,0,0,0,0,1
931,1,0,1,1,0,0
932,0,1,1,0,0,0
933,1,0,0,1,1,0
934,0,0,0,0,1,0
935,1,1,1,1,0,0
936,0,1,0,0,0,0
937,1,0,1,1,1,1
938,0,1,1,0,0,0
939,1,0,0,1,1,1
940,1,0,1,0,0,1
941,0,1,0,1,1,0
942,0,1,0,0,0,0
943,1,0,1,1,1,1
944,1,0,0,0,1,0
945,0,1,1,1,0,0
946,0,0,1,1,1,1
947,1,1,0,0,0,0
948,0,1,1,0,1,0
949,1,0,0,1,0,1
950,0,1,0,0,0,1
951,1,0,1,1,1,0
952,1,0,1,0,0,0
953,0,1,0,1,1,1
954,1,0,1,1,1,1
955,0,1,0,0,0,0
956,1,0,1,1,1,0
957,0,1,0,0,0,1
958,0,0,1,0,0,0
959,1,1,0,1,0,1
960,0,0,0,0,0,0
961,1,0,1,1,1,1
962,1,0,0,1,1,1
963,0,1,1,0,0,0
964,0,0,0,1,1,1
965,1,1,1,0,0,0
966,0,1,1,0,0,0
967,0,0,0,1,1,1
968,0,0,0,0,1,0
969,1,0,1,1,0,1
970,0,1,1,0,0,1
971,1,0,0,0,1,0
972,0,0,1,0,1,0
973,1,1,0,1,0,1
974,0,1,1,0,0,1
975,1,0,0,1,1,0
976,0,0,0,0,0,0
977,1,1,1,1,1,1
978,0,1,0,0,0,0
979,1,0,1,1,1,1
980,0,1,1,1,1,0
981,1,0,0,0,0,0
982,0,0,1,1,1,0
983,1,0,0,0,0,1
984,0,1,1,1,1,0
985,1,0,0,0,0,1
986,1,1,1,0,0,0
987,0,0,0,1,1,1
988,0,1,0,0,1,1
989,1,0,1,1,0,0
990,1,1,0,1,0,0
991,0,0,1,0,1,0
992,0,0,1,1,1,1
993,1,1,0,0,0,0
994,1,0,0,1,1,1
995,0,1,1,0,0,0
996,0,1,1,0,0,0
997,1,0,0,1,1,0
998,1,0,1,0,0,0
999,0,1,0,1,1,1
1000,1,0,1,1,1,1
1001,0,1,0,0,0,0
1002,1,0,1,1,0,0
1003,0,1,0,0,1,1
1004,0,0,0,1,1,0
1005,1,1,1,0,0,0
1006,1,0,1,1,0,0
1007,0,1,0,0,1,1
1008,1,1,1,0,0,0
1009,0,0,0,1,1,0
1010,1,1,0,0,1,1
1011,0,0,1,0,0,0
1012,0,1,1,0,1,0
1013,1,0,0,1,0,1
1014,0,0,1,1,0,0
1015,1,0,0,0,1,1
1016,0,1,1,0,1,0
1017,1,0,0,1,0,1
1018,0,1,0,0,0,1
1019,1,0,1,1,1,0
1020,0,0,1,0,1,0
1021,1,1,0,1,0,1
1022,0,0,1,1,1,0
1023,1,1,0,0,0,1
1024,0,1,1,0,0,0
1025,1,0,0,1,1,1
1026,0,1,1,0,1,0
1027,1,0,0,1,0,1
1028,1,1,0,0,0,0
1029,0,0,1,1,1,1
1030,1,0,0,1,1,1
1031,0,1,1,0,0,0
1032,1,0,1,1,0,0
1033,0,1,0,0,1,1
1034,1,1,0,1,0,1
1035,0,0,1,0,1,0
1036,1,0,1,1,0,0
1037,0,1,0,0,1,1
1038,1,1,1,1,0,0
1039,0,0,0,0,1,1
1040,0,1,0,0,1,0
1041,1,0,1,1,0,1
1042,0,1,0,0,0,0
1043,1,0,1,1,0,0
1044,0,1,0,0,1,1
1045,1,0,1,1,0,0
1046,1,0,0,1,0,1
1047,0,1,0,0,1,0
1048,1,0,0,1,1,1
1049,0,1,1,0,0,0
1050,1,0,0,1,1,0
1051,0,1,1,0,0,0
1052,1,0,0,1,0,0
1053,0,1,1,0,0,1
1054,1,1,0,1,0,1
1055,0,0,0,0,0,0
1056,1,0,0,1,1,0
1057,0,1,1,0,0,1
1058,1,0,0,0,0,1
1059,0,1,1,0,1,0
1060,1,0,0,0,0,1
1061,0,1,1,1,0,0
1062,0,1,0,1,1,1
1063,1,0,1,0,0,0
1064,1,0,1,1,0,1
1065,0,1,0,0,1,0
1066,1,0,1,1,1,0
1067,0,1,0,0,0,1
1068,0,1,0,0,0,0
1069,1,0,0,1,1,1
1070,1,0,0,1,0,1
1071,0,1,1,0,0,0
1072,0,1,0,0,0,1
1073,1,0,1,1,0,0
1074,0,1,1,0,1,0
1075,1,0,0,1,0,0
1076,0,1,1,0,0,0
1077,1,0,0,1,1,1
1078,1,0,1,1,0,0
1079,0,1,0,0,0,1
1080,1,0,1,0,1,0
1081,0,1,0,1,0,1
1082,1,1,1,1,0,0
1083,0,0,0,0,0,1
1084,1,0,0,1,1,1
1085,0,1,1,0,0,0
1086,1,0,0,1,0,1
1087,0,1,1,0,1,0
1088,0,1,0,0,0,1
1089,1,0,1,1,1,0
1090,0,0,0,0,1,1
1091,1,0,1,1,0,0
1092,0,1,1,0,0,0
1093,1,0,0,1,1,1
1094,0,0,0,1,0,1
1095,0,1,0,0,0,0
1096,0,1,1,1,0,0
1097,1,0,0,0,1,1
1098,0,0,1,0,1,0
1099,1,1,0,1,0,0
1100,0,1,0,1,0,0
1101,1,0,1,0,0,1
1102,1,0,1,1,1,0
1103,0,0,0,0,0,1
1104,0,1,1,0,1,1
1105,1,0,0,1,0,0
1106,1,0,0,1,1,0
1107,0,0,1,0,0,1
1108,0,0,0,0,0,0
1109,0,1,1,1,1,1
1110,0,0,0,1,1,1
1111,1,1,1,0,0,0
1112,0,1,0,0,1,0
1113,1,0,1,1,0,1
1114,0,0,0,0,1,1
1115,1,1,1,1,0,0
1116,1,0,1,0,0,0
1117,0,1,0,1,1,1
1118,1,1,0,1,0,0
1119,0,0,0,0,1,1
1120,1,0,1,1,0,0
1121,0,1,0,0,1,1
1122,0,1,1,0,0,1
1123,1,0,0,1,1,0
1124,1,0,1,0,0,0
1125,0,1,0,1,1,1
1126,1,0,0,1,0,1
1127,0,1,1,0,1,0
1128,0,1,1,0,0,0
1129,1,0,0,1,1,1
1130,1,1,0,1,1,0
1131,0,0,1,0,0,1
1132,0,1,1,0,0,0
1133,1,0,0,0,1,1
1134,0,1,0,0,0,0
1135,1,0,1,1,1,1
1136,1,0,1,1,1,0
1137,0,1,0,0,0,1
1138,1,1,0,1,0,0
1139,0,0,1,0,0,0
1140,0,1,1,0,0,0
1141,1,0,0,1,1,1
1142,0,0,0,1,1,1
1143,1,1,1,0,0,0
1144,1,1,0,0,0,1
1145,0,0,1,0,0,0
1146,0,1,1,1,1,0
1147,1,0,0,0,0,1
1148,1,1,0,1,0,1
1149,0,0,1,0,1,0
1150,1,0,1,0,0,0
1151,0,1,0,1,0,1
1152,1,0,0,0,1,1
1153,0,1,0,0,0,0
1154,1,1,0,0,0,0
1155,0,0,1,1,1,0
1156,1,1,0,0,0,0
1157,0,0,1,1,1,1
1158,1,0,0,1,1,1
1159,0,1,1,0,0,0
1160,0,0,1,0,1,0
1161,1,1,0,1,0,1
1162,1,0,1,0,0,0
1163,0,1,0,1,1,1
1164,1,1,0,1,0,0
1165,0,0,1,0,0,0
1166,1,0,1,1,0,0
1167,0,1,0,0,1,1
1168,1,0,0,1,0,1
1169,0,1,1,0,1,0
1170,1,0,1,1,0,0
1171,0,1,0,0,1,1
1172,1,0,1,0,0,0
1173,0,1,0,0,1,1
1174,1,0,1,1,1,1
1175,0,1,0,0,0,0
1176,0,1,1,0,0,0
1177,1,0,0,1,1,1
1178,0,1,1,1,0,0
1179,1,0,0,0,0,1
1180,0,0,0,0,1,1
1181,1,1,1,1,0,0
1182,0,0,1,1,1,0
1183,1,1,0,0,0,1
1184,0,1,0,1,1,1
1185,0,0,1,0,0,0
1186,1,0,0,1,1,0
1187,0,1,1,0,0,0
1188,1,0,0,1,0,1
1189,0,0,1,0,1,0
1190,0,0,1,1,1,0
1191,1,1,0,0,0,1
1192,0,0,0,0,0,1
1193,0,0,1,1,1,0
1194,0,0,0,0,0,1
1195,0,1,1,1,1,0
1196,1,1,0,0,0,0
1197,0,0,1,1,1,1
1198,0,1,0,0,1,0
1199,1,0,0,1,0,1
1200,0,1,0,0,0,1
1201,1,0,1,1,1,0
1202,0,0,0,0,1,0
1203,1,1,0,1,0,1
1204,1,0,1,1,0,0
1205,0,1,0,0,1,1
1206,0,0,1,0,1,1
1207,1,1,0,1,0,0
1208,0,1,0,0,1,1
1209,1,0,1,1,0,0
1210,0,0,1,0,0,0
1211,1,1,0,1,0,1
1212,0,1,1,1,0,0
1213,1,0,0,0,1,1
1214,1,0,0,1,0,0
1215,0,0,1,0,1,1
1216,0,1,0,1,1,1
1217,0,0,1,0,0,0
1218,0,1,0,0,0,0
1219,1,0,1,1,1,1
1220,1,0,0,1,0,1
1221,0,0,1,0,1,0
1222,1,1,0,1,0,1
1223,0,0,1,0,1,0
1224,1,1,1,1,0,0
1225,0,0,0,0,1,1
1226,1,0,0,0,0,0
1227,0,1,0,1,1,0
1228,0,1,1,0,0,0
1229,1,0,0,1,1,1
1230,1,0,1,1,0,0
1231,0,1,0,0,1,1
1232,1,0,0,1,0,1
1233,0,1,0,0,1,0
1234,0,1,1,0,0,1
1235,1,0,0,0,1,0
1236,0,1,0,0,0,1
1237,0,0,1,1,1,0
1238,1,0,0,1,1,1
1239,0,1,1,0,0,0
1240,0,0,1,0,0,0
1241,1,1,0,1,1,1
1242,1,0,1,1,1,0
1243,0,1,0,0,0,1
1244,0,0,0,1,1,1
1245,0,1,1,0,0,0
1246,1,0,0,1,1,0
1247,0,1,1,0,0,0
1248,1,1,0,1,0,0
1249,0,0,1,0,1,0
1250,0,0,0,0,1,0
1251,1,1,1,1,0,0
1252,1,0,1,1,0,0
1253,0,1,0,0,0,1
1254,1,0,0,1,1,1
1255,0,1,1,0,0,0
1256,0,0,1,0,1,1
1257,1,1,0,1,0,0
1258,1,0,1,1,0,0
1259,0,1,0,0,1,1
1260,1,0,1,0,1,0
1261,0,1,0,0,0,1
1262,0,1,1,0,1,1
1263,1,0,0,1,0,0
1264,1,0,0,1,0,1
1265,0,1,1,0,1,0
1266,0,0,1,0,0,0
1267,0,1,0,1,1,0
1268,1,0,0,1,1,1
1269,0,1,1,0,0,0
1270,0,0,1,0,1,0
1271,1,1,0,1,0,1
1272,0,0,1,1,1,0
1273,1,1,0,0,0,1
1274,1,0,0,0,0,1
1275,0,1,0,1,1,0
1276,0,0,0,0,1,1
1277,1,1,1,1,0,0
1278,0,1,1,0,0,0
1279,1,0,0,1,1,1
1280,1,0,0,1,0,0
1281,0,1,1,0,1,0
1282,0,0,1,1,1,0
1283,1,1,0,0,0,1
1284,1,0,1,1,1,1
1285,0,1,0,0,0,0
1286,1,0,1,1,1,0
1287,0,1,0,0,0,1
1288,1,0,0,0,0,1
1289,0,1,1,1,1,0
1290,1,1,0,1,0,1
1291,0,0,1,0,0,0
1292,1,0,0,0,1,1
1293,0,1,1,1,0,0
1294,1,0,1,0,0,0
1295,0,1,0,1,1,1
1296,0,1,1,1,0,0
1297,1,0,0,0,1,1
1298,1,0,0,0,1,1
1299,0,1,1,1,0,0
1300,0,0,0,0,1,1
1301,1,1,1,1,0,0
1302,0,1,1,0,0,0
1303,1,0,0,1,1,1
1304,1,0,0,0,0,0
1305,0,1,1,1,0,1
1306,1,0,0,1,1,1
1307,0,1,1,0,0,0
1308,0,1,0,0,1,1
1309,1,0,1,1,0,0
1310,1,0,1,1,1,0
1311,0,1,0,0,0,1
1312,0,1,0,0,1,1
1313,1,0,1,1,0,0
1314,0,1,1,0,0,0
1315,1,0,0,1,0,1
1316,0,1,1,0,0,0
1317,1,0,0,1,1,1
1318,1,0,1,0,0,0
1319,0,1,0,1,1,1
1320,1,1,0,1,1,1
1321,0,0,1,0,0,0
1322,0,0,0,1,1,1
1323,1,1,1,0,0,0
1324,0,1,1,1,0,0
1325,1,0,0,0,1,1
1326,1,1,0,1,1,1
1327,0,0,1,0,0,0
1328,1,0,0,0,1,1
1329,0,1,1,1,0,0
1330,0,0,1,0,1,0
1331,1,1,0,1,0,1
1332,0,1,0,0,0,1
1333,1,0,1,1,1,0
1334,1,1,1,1,0,0
1335,0,0,0,0,0,1
1336,1,1,0,0,0,0
1337,0,0,1,1,1,1
1338,1,0,0,1,1,0
1339,0,1,0,0,0,1
1340,1,0,1,0,0,0
1341,0,1,0,1,1,1
1342,0,1,0,0,0,1
1343,1,0,1,1,0,0
1344,0,1,1,0,0,0
1345,1,0,0,1,1,1
1346,0,1,1,1,0,0
1347,1,0,0,0,1,1
1348,0,1,0,1,1,1
1349,1,0,1,0,0,0
1350,1,0,1,1,0,1
1351,0,1,0,0,1,0
1352,0,1,0,0,1,1
1353,1,0,1,1,0,0
1354,0,0,1,1,1,0
1355,1,1,0,0,0,1
1356,1,0,0,1,0,1
1357,0,1,1,0,1,0
1358,1,1,1,1,0,0
1359,0,0,0,0,1,1
1360,0,1,1,1,0,0
1361,1,0,0,0,0,1
1362,1,1,1,1,0,0
1363,0,0,0,0,1,1
1364,1,0,0,0,0,0
1365,0,1,1,1,1,0
1366,1,0,1,1,1,0
1367,0,1,0,0,0,1
1368,0,0,1,0,1,0
1369,0,1,0,1,0,1
1370,1,1,0,1,0,1
1371,0,0,1,0,1,0
1372,0,1,1,0,0,0
1373,1,0,0,1,1,1
1374,1,0,1,1,0,0
1375,0,1,0,0,1,1
1376,0,0,1,0,0,0
1377,0,1,0,0,1,1
1378,1,0,0,0,0,0
1379,0,1,0,0,1,1
1380,1,1,0,1,0,1
1381,0,0,1,0,1,0
1382,0,1,1,0,0,0
1383,1,0,0,1,1,1
